note_id	note_date	ingested	gi	pages	summary
58FA5EA4-E330-4829-8392-454A5DAC39A5	2026-03-13	2026-04-09	nogi	positions/01-foundations.md,positions/03-half-guard-bottom.md,positions/04-half-guard-top.md,positions/04-half-guard-top.md,positions/05-open-guards.md	backfilled from initial draft
80AEB718-AC84-4A2E-B876-101A9AC21CEB	2026-03-13	2026-04-09	nogi	positions/01-foundations.md,positions/03-half-guard-bottom.md,positions/04-half-guard-top.md,positions/04-half-guard-top.md,positions/05-open-guards.md,positions/06-side-control.md	backfilled from initial draft
9C20E023-FC17-49CA-B765-FEB648E3DB42	2026-03-20	2026-04-09	nogi	positions/03-half-guard-bottom.md,positions/04-half-guard-top.md,positions/05-open-guards.md,submissions.md	backfilled from initial draft
253F0D5B-CF1A-417A-B762-864AF5AF666C	2026-03-23	2026-04-09	nogi	positions/05-open-guards.md,positions/08-back-control.md,submissions.md	backfilled from initial draft
6327A976-3C41-41D6-A187-4051487DFB63	2026-03-23	2026-04-09	nogi	positions/08-back-control.md,positions/09-front-headlock.md,positions/10-turtle.md	backfilled from initial draft
A0192532-1A6F-406C-A898-DF4E6BCE37AA	2026-03-27	2026-04-09	nogi	positions/08-back-control.md,positions/10-turtle.md	backfilled from initial draft
AA72F172-BA8C-4CE1-A1F3-C85658428604	2026-03-30	2026-04-09	nogi	positions/01-foundations.md,positions/08-back-control.md,positions/10-turtle.md	backfilled from initial draft
0944A19D-6DD2-4D15-82CA-C073CEE93FDC	2026-04-03	2026-04-09	nogi	positions/02-closed-guard.md,submissions.md	backfilled from initial draft
F7D43822-80C6-4B68-9729-FF3B688B34E4	2026-04-03	2026-04-09	nogi	positions/01-foundations.md,positions/03-half-guard-bottom.md,positions/04-half-guard-top.md	backfilled from initial draft
B4B16B99-1022-4042-B801-7F04F1296B4A	2026-04-03	2026-04-09	nogi	positions/01-foundations.md,positions/02-closed-guard.md,positions/03-half-guard-bottom.md,positions/04-half-guard-top.md	backfilled from initial draft
85027497-22D7-4532-AD01-F71CBDF05305	2026-04-03	2026-04-09	nogi	positions/06-side-control.md,submissions.md	backfilled from initial draft
EEA54C92-6559-4D4C-B89A-38A3F2CB5694	2026-04-03	2026-04-09	nogi	positions/08-back-control.md,positions/09-front-headlock.md,positions/10-turtle.md	backfilled from initial draft
C8F14B0F-FE78-4171-9812-ECE2E312DC7D	2026-04-03	2026-04-09	nogi	positions/01-foundations.md,positions/03-half-guard-bottom.md,positions/04-half-guard-top.md	backfilled from initial draft
C50E6AFD-6C7B-4B75-B25C-919D02E040D9	2026-04-03	2026-04-09	nogi	positions/02-closed-guard.md,submissions.md	backfilled from initial draft
F36D971B-E630-4163-AC21-491B502885B8	2026-04-03	2026-04-09	nogi	positions/01-foundations.md,positions/06-side-control.md,positions/07-mount.md,positions/09-front-headlock.md	backfilled from initial draft
D31E7F83-A768-4339-99CB-CFAF2AFD96D7	2026-04-03	2026-04-09	nogi	positions/05-open-guards.md,submissions.md	backfilled from initial draft
34385776-C271-4F6B-85CC-A551BD2D3105	2026-04-03	2026-04-09	nogi	positions/02-closed-guard.md,positions/05-open-guards.md,positions/07-mount.md	backfilled from initial draft
6B4088DD-93B6-4B7F-AB02-2C465CCC5858	2026-04-03	2026-04-09	nogi	positions/02-closed-guard.md	backfilled from initial draft
FFD16CB5-C9F4-413B-A068-398B35CC1476	2026-04-03	2026-04-09	nogi	positions/02-closed-guard.md,submissions.md	backfilled from initial draft
FD2503C8-0B18-4889-921E-EB1803912708	2026-04-03	2026-04-09	nogi	positions/01-foundations.md,positions/03-half-guard-bottom.md,positions/04-half-guard-top.md,positions/04-half-guard-top.md,positions/08-back-control.md	backfilled from initial draft
BE97FAB0-D4A7-46CB-B114-6BC7327A09CA	2026-04-03	2026-04-09	nogi	positions/04-half-guard-top.md,positions/08-back-control.md,positions/09-front-headlock.md	backfilled from initial draft
9D70B26E-39FC-42F6-A0D5-76633E8431F1	2026-04-03	2026-04-09	nogi	positions/02-closed-guard.md,positions/09-front-headlock.md	backfilled from initial draft
90C7BCC3-D419-4058-9E24-8F51E923D46D	2026-04-03	2026-04-09	nogi	positions/02-closed-guard.md,positions/09-front-headlock.md,submissions.md	backfilled from initial draft
B88CD5E7-5040-4433-BEAF-2D9C9701F658	2026-04-03	2026-04-09	nogi	positions/01-foundations.md,positions/04-half-guard-top.md	backfilled from initial draft
9C192F63-82BD-42FE-B1F6-407D114D4FB9	2026-04-03	2026-04-09	nogi	positions/03-half-guard-bottom.md,positions/04-half-guard-top.md,positions/06-side-control.md,submissions.md	backfilled from initial draft
EE873F5E-B29E-4478-B9FD-54A802B9B8F1	2026-04-03	2026-04-09	nogi	positions/01-foundations.md,positions/03-half-guard-bottom.md,positions/04-half-guard-top.md,positions/04-half-guard-top.md,positions/06-side-control.md	backfilled from initial draft
B11FCADE-80F5-4723-8F46-73EAD2463CEB	2026-04-03	2026-04-09	nogi	positions/03-half-guard-bottom.md,positions/04-half-guard-top.md,positions/05-open-guards.md,positions/07-mount.md	backfilled from initial draft
71A1E757-2F52-44B4-9915-568EDE45BD61	2026-04-03	2026-04-09	nogi	positions/05-open-guards.md,submissions.md	backfilled from initial draft
47CFE285-F7BE-4557-B565-C7CEF40FF5B9	2026-04-03	2026-04-09	nogi	positions/01-foundations.md,positions/03-half-guard-bottom.md,positions/04-half-guard-top.md,submissions.md	backfilled from initial draft
